device,value,synonyms
ZNLDP12LM,state,"[состояние, статус]"
ZNLDP12LM,brightness,"[яркость,интенсивность]"
ZNLDP12LM,color_temp,"[цветовой температура, цветовой модель, спектральный состав]"
TS0505B_1,state,"[состояние, статус]"
TS0505B_1,brightness,"[яркость, интенсивность]"
TS0505B_1,color_temp,"[цветовой температура, цветовой модель, спектральный состав]"
TS0505B_1,color,"[цвет, оттенок, окраска, тон]"
TS0505B_1,effect,[эффект]
TS0505B_1,do_not_disturb,"[не беспокоить, не тревожить, не мешать, не волновать]"
ZG-204ZL,sensitivity,"[чувствительность, восприимчивость]"
ZG-204ZL,keep_time,"[задержка, пауза, отсрочка, удержание]"
ZG-204ZL,illuminance_interval,"[интервал освещенность, промежуток освещенность, дистанция освещенность, отрезок освещенность, протяжение освещенность]"
ZG-204ZL,linkquality,"[качество сигнал, уровень сигнал, качество связь, четкость связь]"
ZG-204ZL,occupancy,"[присутствие, пребывание, нахождение, расположение, наличие]" 
ZG-204ZL,illuminance,"[освещенность, светимость]"
ZG-204ZL,battery,"[батарея, аккумулятор, заряд, количество заряд, количество батарея, количество батарейка, уровень заряд, уровень батарея, уровень батарейка]"
SRHMP-I1,mode,[режим]
SRHMP-I1,level,"[уровень, степень]"
SRHMP-I1,warning,"[предупреждение, сигнал, оповещение, уведомление, известие]"
SRHMP-I1,battery,"[батарея, аккумулятор, заряд, количество заряд, количество батарея, количество батарейка, уровень заряд, уровень батарея, уровень батарейка]"
SRHMP-I1,linkquality,"[качество связь, уровень сигнал, качество сигнал, четкость связь, надежность связь, качество соединение, помехоустойчивость, стабильность связь]"
ZNLDP12LM,light,"[свет, освещение]"
ZNLDP12LM,power_outage_count,[количество отключение электроэнергия, количество отключение электричество]
ZNLDP12LM,device_temperature,"[температура устройство, температура аппарат, температура прибор, нагрев, нагрев устройство, нагрев аппарат, нагрев прибор]"
ZNLDP12LM,linkquality,"[качество связь, уровень сигнал, качество сигнал, четкость связь, надежность связь, качество соединение, помехоустойчивость, стабильность связь]"
TS0505B_1,light,"[свет, освещение]"
TS0505B_1,linkquality,"[качество связь, уровень сигнал, качество сигнал, четкость связь, надежность связь, качество соединение, помехоустойчивость, стабильность связь]"
SRHMP-I1,strobe_duty_cycle,"[цикл мерцание, цикл вспышка]"
SRHMP-I1,duration,"[продолжительность, длительность, срок]"
SRHMP-I1,battery,"[батарея, аккумулятор, заряд, количество заряд, количество батарея, количество батарейка, уровень заряд, уровень батарея, уровень батарейка]"
SRHMP-I1,linkquality,"[качество связь, уровень сигнал, качество сигнал, четкость связь, надежность связь, качество соединение, помехоустойчивость, стабильность связь]"
DY-RQ500A,gas,"[газ, угарный газ, углекислый газ]"
DY-RQ500A,gas_value,"[уровень газ, степень газ, значение газ]"
DY-RQ500A,self_test,"[самодиагностика, самотестирование, тестирование, тест]"
DY-RQ500A,self_test_result,"[результат самодиагностика, результат самотестирование, результат тестирование, результат теста]"
DY-RQ500A,silence,"[заглушить тревога, беззвучный режим, режим беззвучия, режим тишина, тишина]"
DY-RQ500A,alarm_ringtone,"[мелодия тревога, рингтон тревога, музыка тревога, звук тревога]"
DY-RQ500A,alarm_time,"[время работа тревога, период работа тревога, время тревога]"
DY-RQ500A,preheat,"[перегрев, сверхнагрев, нагрев]"
DY-RQ500A,linkquality,"[качество связь, уровень сигнал, качество сигнал, четкость связь, надежность связь, качество соединение, помехоустойчивость, стабильность связь]"
ZNLDP12LM,sensitivity,"[чувствительность, восприимчивость]"
